curLapTime,speedX,steer,accel,brake,gear,trackPos,angle,damage,rpm,distRaced
0.802,8.11569,0.0,0.0,0.0,1,0.333038,0.0168502,0.0,1017.13,0.604736
0.822,8.4632,0.0,0.0,0.0,1,0.332938,0.0176136,0.0,1073.78,0.652588
0.842,8.8201,0.0,1.0,0.0,1,0.332828,0.0182907,0.0,1097.13,0.702515
0.862,8.86841,0.0,1.0,0.0,1,0.332711,0.0190894,0.0,942.478,0.753418
0.882,8.79475,0.0,1.0,0.0,1,0.332588,0.0197503,0.0,1137.62,0.804321
0.902,8.8475,0.0,1.0,0.0,1,0.33246,0.0205457,0.0,942.478,0.855103
0.922,8.77738,0.0,1.0,0.0,1,0.332325,0.0212027,0.0,1133.23,0.905762
0.942,8.82965,0.0,1.0,0.0,1,0.332188,0.0219943,0.0,942.478,0.956543
0.962,8.75769,0.0,1.0,0.0,1,0.332044,0.0226514,0.0,1135.36,1.00708
0.982,8.81282,0.0,1.0,0.0,1,0.331897,0.0234391,0.0,942.478,1.05774
1.004,8.76699,0.0,1.0,0.0,1,0.331729,0.0242102,0.0,961.19,1.11328
1.024,8.76359,0.0,1.0,0.0,1,0.331571,0.0249121,0.0,1042.84,1.16382
1.044,8.74883,0.0,1.0,0.0,1,0.331409,0.0256516,0.0,962.442,1.21423
1.064,8.74429,0.0,0.0,0.0,1,0.331243,0.0263507,0.0,1040.57,1.26465
1.084,8.73151,0.0,0.0,0.0,1,0.331073,0.0270888,0.0,957.325,1.31482
1.104,8.72481,0.0,0.0,0.0,1,0.330899,0.0277874,0.0,1044.24,1.36511
1.124,8.71457,0.0,0.0,0.0,1,0.330719,0.0285236,0.0,947.761,1.41528
1.144,8.70561,0.05,0.0,0.0,1,0.330537,0.0292231,0.0,1051.31,1.46545
1.164,8.6975,0.1,0.0,0.0,1,0.330349,0.0299565,0.0,942.478,1.51563
1.184,8.6871,0.15000000000000002,0.0,0.0,1,0.330157,0.0306551,0.0,1059.23,1.56567
1.204,9.05841,0.2,0.0,0.0,1,0.329958,0.0314333,0.0,984.242,1.61658
1.224,9.38363,0.25,0.0,0.0,1,0.329741,0.0322067,0.0,1124.56,1.66968
1.244,9.73162,0.3,0.0,0.0,1,0.329513,0.0330064,0.0,1220.34,1.72473
